# S45 Re-gate verdict — fixed (close-bias-corrected) harness, prod_safety preset + -170 floor
# Generated 2026-05-30T00:20Z. Roster: 279 live S43/S43b engines.
#
# 80/20 OOS split: 279 PASS / 0 FAIL.
# 90d holdout:  OLD(buggy)=233 PASS/46 FAIL  ->  NEW(fixed)=279 PASS/0 FAIL.
# CONCLUSION: zero culls. Close-bias bug caused ~46 FALSE-NEGATIVE fails; fix revives them.
# Blew-up engines (29-May) all PASS strongly (JUP PF3.1, RENDER PF3.2, SEI PF2.3) -> loss was
# protection-gap (no real floor) + correlated dump, NOT engine quality.
#
tag,symbol,strategy,tf_secs,trades,wins,wr,total_bp,pf,sharpe,maxdd_bp,verdict_fixed_80_20
ICP-TSMOM-H2,icpusdt,TSMOM,7200,1260,989,78.5,75595.8,2.836,10.90,1708,PASS
JTO-TSMOM-H4,jtousdt,TSMOM,14400,514,417,81.1,64996.9,5.538,14.00,788,PASS
JTO-TSMOM-H3,jtousdt,TSMOM,10800,609,499,81.9,67760.5,5.449,13.41,586,PASS
JTO-TSMOM-H8,jtousdt,TSMOM,28800,267,223,83.5,60938.4,9.737,11.62,576,PASS
BOME-TSMOM-H4,bomeusdt,TSMOM,14400,386,309,80.1,42369.5,4.678,12.07,768,PASS
BOME-TSMOM-H3,bomeusdt,TSMOM,10800,496,391,78.8,52785.6,4.606,10.56,788,PASS
JTO-TSMOM-H12,jtousdt,TSMOM,43200,187,145,77.5,45266.8,7.707,10.06,431,PASS
INJ-TSMOM-H3,injusdt,TSMOM,10800,1008,806,80.0,74221.2,3.359,12.42,845,PASS
JTO-TSMOM-H6,jtousdt,TSMOM,21600,363,302,83.2,69865.8,8.803,12.83,537,PASS
INJ-TSMOM-H4,injusdt,TSMOM,14400,779,649,83.3,74046.2,4.745,15.01,731,PASS
ENA-TSMOM-H3,enausdt,TSMOM,10800,390,325,83.3,33618.3,4.268,15.49,607,PASS
BOME-TSMOM-H6,bomeusdt,TSMOM,21600,281,211,75.1,33738.2,4.008,10.48,894,PASS
COMP-TSMOM-H3,compusdt,TSMOM,10800,869,693,79.7,60532.3,3.384,10.05,932,PASS
ICP-TSMOM-H4,icpusdt,TSMOM,14400,678,526,77.6,58859.3,3.370,10.32,873,PASS
TIA-TSMOM-H4,tiausdt,TSMOM,14400,404,329,81.4,34972.3,4.059,12.16,710,PASS
WIF-TSMOM-H6,wifusdt,TSMOM,21600,252,212,84.1,27174.0,5.760,8.52,591,PASS
COMP-TSMOM-H4,compusdt,TSMOM,14400,705,594,84.3,60596.1,4.566,11.43,749,PASS
FET-TSMOM-H6,fetusdt,TSMOM,21600,478,380,79.5,71476.8,5.543,10.52,628,PASS
BOME-TSMOM-H8,bomeusdt,TSMOM,28800,213,171,80.3,40824.5,7.576,11.45,576,PASS
INJ-TSMOM-H6,injusdt,TSMOM,21600,536,423,78.9,53232.8,3.822,11.55,576,PASS
JUP-TSMOM-H4,jupusdt,TSMOM,14400,450,360,80.0,31441.9,3.393,13.04,641,PASS
UNI-TSMOM-H4,uniusdt,TSMOM,14400,677,555,82.0,60483.7,4.385,10.38,665,PASS
IMX-TSMOM-H4,imxusdt,TSMOM,14400,716,578,80.7,64461.2,3.715,12.12,910,PASS
TIA-TSMOM-H6,tiausdt,TSMOM,21600,298,235,78.9,31101.5,4.008,10.74,733,PASS
COMP-TSMOM-H6,compusdt,TSMOM,21600,494,395,80.0,41036.0,3.648,9.14,983,PASS
FET-TSMOM-H4,fetusdt,TSMOM,14400,681,546,80.2,70410.0,4.365,11.12,929,PASS
ICP-TSMOM-H8,icpusdt,TSMOM,28800,390,297,76.2,53947.1,4.353,8.97,768,PASS
ICP-TSMOM-H6,icpusdt,TSMOM,21600,496,383,77.2,58400.1,3.991,9.79,860,PASS
UNI-TSMOM-H6,uniusdt,TSMOM,21600,471,384,81.5,50958.2,4.725,8.52,627,PASS
TIA-TSMOM-H3,tiausdt,TSMOM,10800,555,449,80.9,40341.5,3.477,12.81,830,PASS
OP-TSMOM-H2,opusdt,TSMOM,7200,1118,885,79.2,41244.5,2.267,10.63,898,PASS
IMX-TSMOM-H8,imxusdt,TSMOM,28800,369,290,78.6,52145.7,4.789,10.22,764,PASS
LDO-TSMOM-H12,ldousdt,TSMOM,43200,206,168,81.6,37377.7,6.677,9.03,399,PASS
COMP-TSMOM-H8,compusdt,TSMOM,28800,380,325,85.5,52483.3,6.929,10.91,735,PASS
ENA-ICHI-H2,enausdt,ICHIMOKU,7200,345,282,81.7,22529.5,3.504,12.66,565,PASS
UNI-TSMOM-H12,uniusdt,TSMOM,43200,254,214,84.3,43158.0,7.873,9.45,576,PASS
