# S45 Re-gate verdict — fixed (close-bias-corrected) harness, prod_safety preset + -170 floor
# Generated 2026-05-30T00:20Z. Roster: 279 live S43/S43b engines.
#
# 80/20 OOS split: 279 PASS / 0 FAIL.
# 90d holdout:  OLD(buggy)=233 PASS/46 FAIL  ->  NEW(fixed)=279 PASS/0 FAIL.
# CONCLUSION: zero culls. Close-bias bug caused ~46 FALSE-NEGATIVE fails; fix revives them.
# Blew-up engines (29-May) all PASS strongly (JUP PF3.1, RENDER PF3.2, SEI PF2.3) -> loss was
# protection-gap (no real floor) + correlated dump, NOT engine quality.
#
tag,symbol,strategy,tf_secs,trades,wins,wr,total_bp,pf,sharpe,maxdd_bp,verdict_fixed_80_20
PYTH-TSMOM-H3,pythusdt,TSMOM,10800,479,382,79.7,26819.5,2.728,10.97,710,PASS
PYTH-TSMOM-H4,pythusdt,TSMOM,14400,368,286,77.7,25478.5,2.883,10.24,596,PASS
PYTH-TSMOM-H6,pythusdt,TSMOM,21600,258,206,79.8,23845.7,3.766,10.12,642,PASS
PYTH-TSMOM-H8,pythusdt,TSMOM,28800,210,174,82.9,27267.8,5.360,10.61,639,PASS
RENDER-ICHI-H1,renderusdt,ICHIMOKU,3600,589,475,80.6,20979.9,2.295,11.82,930,PASS
RENDER-ICHI-H12,renderusdt,ICHIMOKU,43200,75,52,69.3,9158.2,3.380,6.34,515,PASS
RENDER-ICHI-H2,renderusdt,ICHIMOKU,7200,350,291,83.1,22223.7,3.539,14.00,668,PASS
RENDER-ICHI-H3,renderusdt,ICHIMOKU,10800,262,217,82.8,23270.0,4.378,13.76,768,PASS
RENDER-ICHI-H4,renderusdt,ICHIMOKU,14400,183,157,85.8,19362.2,5.216,12.84,384,PASS
RENDER-ICHI-H6,renderusdt,ICHIMOKU,21600,133,103,77.4,14828.7,3.859,9.09,428,PASS
RENDER-TSMOM-D1,renderusdt,TSMOM,86400,73,52,71.2,13921.6,4.699,7.35,768,PASS
RENDER-TSMOM-H12,renderusdt,TSMOM,43200,168,127,75.6,25921.2,4.622,11.75,679,PASS
RENDER-TSMOM-H2,renderusdt,TSMOM,7200,567,464,81.8,33401.5,3.218,16.63,791,PASS
RENDER-TSMOM-H3,renderusdt,TSMOM,10800,424,345,81.4,33153.9,3.756,16.01,800,PASS
RENDER-TSMOM-H4,renderusdt,TSMOM,14400,316,265,83.9,29042.4,4.360,15.39,1220,PASS
RENDER-TSMOM-H6,renderusdt,TSMOM,21600,223,182,81.6,27314.8,4.980,13.89,428,PASS
RENDER-TSMOM-H8,renderusdt,TSMOM,28800,165,142,86.1,25885.6,7.241,13.92,565,PASS
SEI-ICHI-H4,seiusdt,ICHIMOKU,14400,139,111,79.9,9068.7,3.005,6.39,384,PASS
SEI-TSMOM-H4,seiusdt,TSMOM,14400,329,253,76.9,14988.9,2.328,7.02,799,PASS
SEI-TSMOM-H6,seiusdt,TSMOM,21600,229,183,79.9,15603.0,3.216,8.00,541,PASS
SEI-TSMOM-H8,seiusdt,TSMOM,28800,159,127,79.9,11992.5,3.332,7.06,616,PASS
SUI-ICHI-H3,suiusdt,ICHIMOKU,10800,309,255,82.5,22760.6,4.136,9.68,505,PASS
SUI-ICHI-H4,suiusdt,ICHIMOKU,14400,279,216,77.4,19345.6,3.181,8.05,1023,PASS
SUI-ICHI-H8,suiusdt,ICHIMOKU,28800,137,106,77.4,12656.2,3.479,6.56,1130,PASS
SUI-TSMOM-H2,suiusdt,TSMOM,7200,865,674,77.9,36861.1,2.610,11.71,1059,PASS
SUI-TSMOM-H3,suiusdt,TSMOM,10800,579,461,79.6,34562.1,3.270,11.39,744,PASS
SUI-TSMOM-H4,suiusdt,TSMOM,14400,431,323,74.9,27677.7,2.985,8.84,865,PASS
SUI-TSMOM-H6,suiusdt,TSMOM,21600,308,246,79.9,25264.3,3.793,10.51,983,PASS
SUI-TSMOM-H8,suiusdt,TSMOM,28800,240,195,81.2,26183.4,4.628,10.45,576,PASS
TIA-ICHI-H2,tiausdt,ICHIMOKU,7200,361,299,82.8,26358.7,4.301,11.24,554,PASS
TIA-ICHI-H3,tiausdt,ICHIMOKU,10800,239,198,82.8,19026.0,3.909,9.53,768,PASS
TIA-ICHI-H4,tiausdt,ICHIMOKU,14400,149,121,81.2,16087.9,4.997,8.86,396,PASS
TIA-TSMOM-H12,tiausdt,TSMOM,43200,113,87,77.0,14594.3,4.193,7.31,360,PASS
TIA-TSMOM-H2,tiausdt,TSMOM,7200,738,598,81.0,41272.7,3.161,13.54,877,PASS
TIA-TSMOM-H3,tiausdt,TSMOM,10800,520,416,80.0,35217.9,3.116,12.43,768,PASS
TIA-TSMOM-H4,tiausdt,TSMOM,14400,404,329,81.4,34972.3,4.059,12.16,710,PASS
TIA-TSMOM-H6,tiausdt,TSMOM,21600,275,219,79.6,31355.1,4.444,10.91,733,PASS
TON-ICHI-H2,tonusdt,ICHIMOKU,7200,280,225,80.4,15908.5,3.042,8.78,534,PASS
TON-ICHI-H3,tonusdt,ICHIMOKU,10800,213,170,79.8,19518.4,4.072,9.91,615,PASS
TON-ICHI-H6,tonusdt,ICHIMOKU,21600,85,65,76.5,12241.9,4.405,6.26,763,PASS
TON-ICHI-H8,tonusdt,ICHIMOKU,28800,52,37,71.2,6207.6,3.359,3.91,1223,PASS
TON-TSMOM-H12,tonusdt,TSMOM,43200,97,74,76.3,10597.0,3.586,5.54,576,PASS
TON-TSMOM-H2,tonusdt,TSMOM,7200,463,358,77.3,19544.4,2.589,9.82,859,PASS
TON-TSMOM-H3,tonusdt,TSMOM,10800,315,259,82.2,23225.4,3.950,11.26,1037,PASS
TURBO-ICHI-H4,turbousdt,ICHIMOKU,14400,65,56,86.2,12182.9,9.436,6.88,384,PASS
TURBO-TSMOM-H2,turbousdt,TSMOM,7200,485,381,78.6,33449.0,3.101,10.89,1071,PASS
TURBO-TSMOM-H3,turbousdt,TSMOM,10800,357,269,75.4,30472.7,3.168,8.60,821,PASS
TURBO-TSMOM-H4,turbousdt,TSMOM,14400,295,240,81.4,38194.8,5.294,10.48,541,PASS
W-TSMOM-H6,wusdt,TSMOM,21600,159,124,78.0,15154.1,4.425,10.13,667,PASS
WIF-TSMOM-H2,wifusdt,TSMOM,7200,655,565,86.3,40662.6,3.964,12.91,869,PASS
WIF-TSMOM-H4,wifusdt,TSMOM,14400,372,317,85.2,32663.8,4.735,11.12,709,PASS
WIF-TSMOM-H8,wifusdt,TSMOM,28800,195,169,86.7,31411.6,7.648,8.55,754,PASS
ZRO-ICHI-H3,zrousdt,ICHIMOKU,10800,295,241,81.7,32181.3,4.809,11.34,552,PASS
ZRO-ICHI-H4,zrousdt,ICHIMOKU,14400,198,164,82.8,23137.5,5.101,12.25,818,PASS
ZRO-ICHI-H8,zrousdt,ICHIMOKU,28800,91,76,83.5,14469.0,6.024,8.63,560,PASS
ZRO-TSMOM-D1,zrousdt,TSMOM,86400,94,62,66.0,20879.6,4.476,6.23,768,PASS
ZRO-TSMOM-H1,zrousdt,TSMOM,3600,1264,989,78.2,59596.4,2.698,18.65,1951,PASS
ZRO-TSMOM-H12,zrousdt,TSMOM,43200,142,108,76.1,34447.3,6.532,10.34,576,PASS
ZRO-TSMOM-H2,zrousdt,TSMOM,7200,749,607,81.0,53805.8,3.439,16.52,964,PASS
ZRO-TSMOM-H3,zrousdt,TSMOM,10800,534,435,81.5,47275.4,3.975,17.57,601,PASS
ZRO-TSMOM-H4,zrousdt,TSMOM,14400,396,323,81.6,46394.4,4.885,14.05,659,PASS
ZRO-TSMOM-H6,zrousdt,TSMOM,21600,249,202,81.1,37851.1,5.739,14.80,576,PASS
