tag,symbol,kind,tf,trades,pf,win,avg,sharpe,mdd,cagr,expo,final,n_bars
BTC-TSMOM-D1,btcusdt,TSMOM,1D,201,1.1248168526102649,0.6915422885572139,0.0033801782566843805,0.2914109921542554,-0.7254490567132301,0.028472070823972517,0.6575063613231552,1.1631590090076513,1965
ETH-TSMOM-D1,ethusdt,TSMOM,1D,232,1.1057258629541908,0.6896551724137931,0.0029027034697521586,0.2583377939516478,-0.6315111236066047,0.0011658782611647656,0.489058524173028,1.0062926374428338,1965
SOL-TSMOM-D1,solusdt,TSMOM,1D,313,1.4865505049417627,0.805111821086262,0.014368797964226009,1.113654835961785,-0.8918544290673174,0.6971287564728137,0.5582697201017812,17.245815865284847,1965
LINK-TSMOM-D1,linkusdt,TSMOM,1D,173,0.6913165995582333,0.6820809248554913,-0.014055455911183203,-0.7891319725150205,-0.9700967371861564,-0.4679384953208455,0.48498727735368957,0.033473310322433274,1965
BNB-TSMOM-D1,bnbusdt,TSMOM,1D,180,1.877983908091507,0.7166666666666667,0.024035577172091305,1.3402308600049573,-0.6627524379683631,0.8844855304492585,0.6727735368956743,30.305220018794383,1965
BTC-TSMOM-H12,btcusdt,TSMOM,12h,270,1.024466584633032,0.7037037037037037,0.0006166865694850125,0.06746998317543948,-0.7349748426368767,-0.07613216395895017,0.724357342835327,0.6529886079816705,3929
DOGE-TSMOM-H12,dogeusdt,TSMOM,12h,445,1.6967109098328823,0.7932584269662921,0.017766424806406764,1.1617510424507473,-0.896064803027792,1.3948854379026199,0.43878849580045814,109.99760463238458,3929
AVAX-TSMOM-H12,avaxusdt,TSMOM,12h,450,1.2882941259370981,0.8266666666666667,0.006610909113159789,0.7406020973721499,-0.8767154736066756,0.2727686275832677,0.451259862560448,3.662534233413659,3929
XRP-TSMOM-H6,xrpusdt,TSMOM,6h,714,1.4863980677490305,0.8235294117647058,0.007823402285969385,1.4249470210627113,-0.7258105651644058,1.161086899390618,0.5218885212522271,63.28053307375484,7858
BTC-TSMOM-H6,btcusdt,TSMOM,6h,983,1.2210705056791489,0.8179043743641913,0.0018609692348921776,0.9323073584327838,-0.4690271356853969,0.31257750762452274,0.504963094935098,4.322860067665001,7858
ETH-TSMOM-H6,ethusdt,TSMOM,6h,1029,1.1038741857680625,0.793002915451895,0.0010866873869241232,0.4419569105049377,-0.7368347586538475,0.0979101894936596,0.47327564265716465,1.65324943157113,7858
SOL-TSMOM-H6,solusdt,TSMOM,6h,881,1.7803355395710523,0.8694665153234961,0.010807474179063348,2.4048566189474725,-0.4840704355425969,3.3860534342672173,0.5687197760244337,2856.044472143169,7858
BNB-TSMOM-H6,bnbusdt,TSMOM,6h,498,1.4229295162302384,0.7128514056224899,0.007678677617544766,1.170137177632937,-0.6788857569451094,0.6901342098710299,0.633876304403156,16.854488154963217,7858
LINK-TSMOM-H6,linkusdt,TSMOM,6h,549,1.325243728822145,0.7431693989071039,0.007816726453446408,1.1224581401086138,-0.6480149629148927,0.6970673624376404,0.5724102825146348,17.22996945105832,7858
DOGE-TSMOM-H6,dogeusdt,TSMOM,6h,578,1.3063710115243068,0.5501730103806228,0.0105277716122111,1.019138353838351,-0.7949183651769474,0.735973994046559,0.5671926698905574,19.465587788923546,7858
AVAX-TSMOM-H6,avaxusdt,TSMOM,6h,1157,1.4832312747573113,0.7761452031114953,0.007307584524509983,2.0290060927513256,-0.571392943777774,2.5419367998327727,0.42746245864087556,903.8978649146336,7858
XRP-TSMOM-H4,xrpusdt,TSMOM,4h,1690,1.2135022250355747,0.7218934911242604,0.0022775080247600253,1.1017130100025052,-0.6999033317212441,0.6661954991246581,0.43178347191583233,15.605237350493072,11786
BNB-TSMOM-H4,bnbusdt,TSMOM,4h,1397,1.3030747057673695,0.8181818181818182,0.0024578218336855128,1.2490834007729934,-0.5760405726205078,0.6543138528056474,0.505090785677923,15.015633986963923,11786
LINK-TSMOM-H4,linkusdt,TSMOM,4h,1427,1.18705998419818,0.8248072880168185,0.002312393699146144,0.9555633444704853,-0.6526976592940171,0.49143619621765655,0.49473952146614625,8.595960368930605,11786
SOL-TSMOM-H4,solusdt,TSMOM,4h,1439,1.4898417820363488,0.8082001389854065,0.006266954840943383,2.2057439624141995,-0.6072861564007801,2.971280887357039,0.478703546580689,1672.1910657238393,11786
BTC-TSMOM-H4,btcusdt,TSMOM,4h,1046,1.205981190670452,0.7447418738049714,0.002096664269892003,0.9455849772812904,-0.48309459116361597,0.36545934653179746,0.5828949601221789,5.346068723194264,11786
ETH-TSMOM-H4,ethusdt,TSMOM,4h,1279,1.1396024238283753,0.836591086786552,0.0011946267424887405,0.6217303593144198,-0.47453337475075985,0.19132422964456386,0.5128118106227728,2.5655069070090515,11786
AVAX-TSMOM-H4,avaxusdt,TSMOM,4h,1392,1.2085819949780283,0.8189655172413793,0.0028945374737285572,0.9692624144127059,-0.8684363837446063,0.5583422463014776,0.4761581537417275,10.885801329016369,11786
XRP-TSMOM-H1,xrpusdt,TSMOM,1h,2408,1.1877756186293709,0.5901162790697675,0.002341389723633231,1.2858399050270368,-0.6956977941671703,1.0405985870168348,0.5946232680515182,46.398384663634985,47129
SOL-TSMOM-H1,solusdt,TSMOM,1h,3760,1.2104339415099017,0.7622340425531915,0.0020815140406458942,1.7803042659174881,-0.6500161507781053,2.0405127545738275,0.5573638311867428,396.5198828879885,47129
LINK-TSMOM-H1,linkusdt,TSMOM,1h,5690,1.030538343243366,0.7771528998242531,0.0001824286944755442,0.30340059925371343,-0.8433838178643921,-0.013207281268206139,0.4732754779435167,0.9309693978890026,47129
BTC-TSMOM-H2,btcusdt,TSMOM,2h,1913,1.2390042901083484,0.7652901202300052,0.0016471495190664618,1.4204559481520687,-0.4207438346752176,0.6466417434352281,0.5841395112016293,14.637984970433214,23568
ETH-TSMOM-H2,ethusdt,TSMOM,2h,2499,1.2981193918835792,0.8575430172068828,0.0018151249600135383,1.6621257633698772,-0.5412581946949866,1.0298500091186913,0.5631364562118126,45.12412047748133,23568
SOL-TSMOM-H2,solusdt,TSMOM,2h,2406,1.2105928509134616,0.8291770573566085,0.0020272377495908996,1.1706636768074108,-0.8388446538696069,0.809679924704326,0.5504921928038018,24.328158852698394,23568
XRP-TSMOM-H2,xrpusdt,TSMOM,2h,2266,1.026455248866173,0.6575463371579876,0.0002785422844356281,0.16608970322788885,-0.958138042172046,-0.12584924151439958,0.5303377460964019,0.48493830614315964,23568
LINK-TSMOM-H2,linkusdt,TSMOM,2h,2684,1.1900010134475953,0.8479880774962743,0.0016661935920372734,1.1868846960552921,-0.732254671377548,0.7769110762814686,0.5663611676849966,22.049900862732667,23568
DOGE-TSMOM-H2,dogeusdt,TSMOM,2h,2318,1.3536583041824108,0.6984469370146679,0.004901309603631638,1.708480302281787,-0.6907095551910234,3.310699657255806,0.5342837746096402,2596.501164117664,23568
BNB-TSMOM-H2,bnbusdt,TSMOM,2h,2398,1.0525014291128683,0.7176814011676397,0.000316190615519503,0.2772873768326272,-0.8086329206627324,0.005912968371427407,0.5613968092328581,1.032231469041272,23568
