FET-TSMOM-H3,fetusdt,TSMOM,10800,1217,18,1.5,-254878,0.008,-46.08,254878
ICP-ICHI-H2,icpusdt,ICHIMOKU,7200,0,0,0.0,0,0.000,0.00,0
ICP-ICHI-H3,icpusdt,ICHIMOKU,10800,0,0,0.0,0,0.000,0.00,0
IMX-TSMOM-H6,imxusdt,TSMOM,21600,460,7,1.5,-110921,0.027,-29.45,110921
CRV-ICHI-H12,crvusdt,ICHIMOKU,43200,162,0,0.0,-58945,0.000,-20.69,58945
AVAX-TSMOM-H12,avaxusdt,TSMOM,43200,312,1,0.3,-80860,0.002,-28.24,80860
COMP-ICHI-H4,compusdt,ICHIMOKU,14400,0,0,0.0,0,0.000,0.00,0
MANA-ICHI-H4,manausdt,ICHIMOKU,14400,559,12,2.1,-109860,0.020,-30.53,109860
ICP-TSMOM-H3,icpusdt,TSMOM,10800,0,0,0.0,0,0.000,0.00,0
INJ-ICHI-H8,injusdt,ICHIMOKU,28800,319,3,0.9,-100118,0.006,-24.65,100118
NEAR-ICHI-H3,nearusdt,ICHIMOKU,10800,905,18,2.0,-169563,0.011,-41.13,169563
LDO-TSMOM-D1,ldousdt,TSMOM,86400,92,0,0.0,-40998,0.000,-12.39,40998
COMP-ICHI-H6,compusdt,ICHIMOKU,21600,0,0,0.0,0,0.000,0.00,0
ATOM-ICHI-H3,atomusdt,ICHIMOKU,10800,837,38,4.5,-117809,0.033,-39.67,117809
MANA-ICHI-H6,manausdt,ICHIMOKU,21600,372,3,0.8,-85510,0.011,-27.40,85510
IMX-ICHI-H4,imxusdt,ICHIMOKU,14400,362,10,2.8,-76030,0.033,-25.40,76030
CRV-ICHI-H8,crvusdt,ICHIMOKU,28800,264,5,1.9,-73618,0.023,-21.32,73618
MANA-TSMOM-H6,manausdt,TSMOM,21600,627,11,1.8,-129287,0.019,-34.26,129287
ICP-TSMOM-D1,icpusdt,TSMOM,86400,0,0,0.0,0,0.000,0.00,0
TRX-ICHI-D1,trxusdt,ICHIMOKU,86400,0,0,0.0,0,0.000,0.00,0
ICP-TSMOM-H2,icpusdt,TSMOM,7200,0,0,0.0,0,0.000,0.00,0
JTO-TSMOM-H4,jtousdt,TSMOM,14400,600,13,2.2,-158226,0.013,-39.34,158226
JTO-TSMOM-H3,jtousdt,TSMOM,10800,723,19,2.6,-160596,0.012,-41.48,160596
JTO-TSMOM-H8,jtousdt,TSMOM,28800,304,3,1.0,-110020,0.007,-29.69,110020
BOME-TSMOM-H4,bomeusdt,TSMOM,14400,402,6,1.5,-99473,0.009,-27.84,99473
BOME-TSMOM-H3,bomeusdt,TSMOM,10800,525,12,2.3,-108957,0.018,-31.71,108957
JTO-TSMOM-H12,jtousdt,TSMOM,43200,199,1,0.5,-87230,0.006,-22.69,87230
INJ-TSMOM-H3,injusdt,TSMOM,10800,1402,35,2.5,-274369,0.012,-47.48,274369
INJ-TSMOM-H4,injusdt,TSMOM,14400,1033,17,1.6,-229759,0.013,-40.02,229759
ENA-TSMOM-H3,enausdt,TSMOM,10800,413,4,1.0,-89771,0.004,-44.90,89771
BOME-TSMOM-H6,bomeusdt,TSMOM,21600,282,4,1.4,-79132,0.005,-24.32,79132
COMP-TSMOM-H3,compusdt,TSMOM,10800,0,0,0.0,0,0.000,0.00,0
ICP-TSMOM-H4,icpusdt,TSMOM,14400,0,0,0.0,0,0.000,0.00,0
TIA-TSMOM-H4,tiausdt,TSMOM,14400,476,7,1.5,-100748,0.023,-39.56,100748
WIF-TSMOM-H6,wifusdt,TSMOM,21600,225,0,0.0,-55602,0.000,-31.67,55602
COMP-TSMOM-H4,compusdt,TSMOM,14400,0,0,0.0,0,0.000,0.00,0
