tag,symbol,kind,tf,n_bars,blowoff_skips,trades,pf,sharpe,win,mdd_cmp,mdd_bp,cum_bp,cagr,avg_loss_bp,avg_win_bp,worst_bp,max_loss_streak,max_run_loss_bp,n_sl,n_time,n_kill,n_giveback,passes
ETH-TSMOM-H4,ethusdt,TSMOM,4h,11833,0,3138,8.682360208132598,15.553164907159129,0.8033779477374123,-0.027434043336483804,-277.04905897623394,205529.19675830216,42.04745605438163,-43.36044139656839,92.13906747321904,-67.00000000000085,5,-228.86470874636933,541,0,345,2252,True
AVAX-TSMOM-H4,avaxusdt,TSMOM,4h,11833,103,2922,16.94491161855186,15.828688849456402,0.8514715947980835,-0.03426267747326506,-347.674413221539,361229.3917602565,705.6491174578157,-52.200087863617924,154.29430461939987,-72.00000000000082,5,-259.9999999999994,353,0,220,2349,True
XRP-TSMOM-H1,xrpusdt,TSMOM,1h,47316,0,11256,2.2685482116779423,10.728030374456667,0.6340618336886994,-0.36223249168055893,-4448.865302284568,263312.43095612136,116.97387455463821,-50.39327612184428,65.9776285977301,-72.00000000000111,11,-522.6887219603641,3083,1,2297,5875,True
SOL-TSMOM-H1,solusdt,TSMOM,1h,47316,1,12081,4.068515395888154,19.534406499941724,0.717241950169688,-0.1817958434409933,-1984.159683864098,503415.581732853,9801.390768574645,-48.02644991553147,77.03103688912971,-70.00000000000107,10,-430.3962867249903,2653,0,1855,7573,True
LINK-TSMOM-H1,linkusdt,TSMOM,1h,47316,0,12031,2.861683088512442,17.10570927136257,0.6902169395727703,-0.20110025962813605,-2217.888533823716,353664.28069122095,641.9255886912661,-50.97134021355116,65.46657823544415,-72.00000000000104,10,-545.0479156604745,2920,0,1927,7184,True
BTC-TSMOM-H2,btcusdt,TSMOM,2h,23661,0,6022,2.3924414237400353,10.148980270357695,0.655097974094985,-0.1735912962983981,-1889.836918510584,123562.57352238671,8.582309109362832,-42.724158140330786,53.81512040047011,-67.00000000000104,8,-334.5895172002424,1596,1,1256,3169,True
ETH-TSMOM-H2,ethusdt,TSMOM,2h,23661,0,6272,3.93422044076258,15.170029015583847,0.7144451530612245,-0.11117813375052288,-1165.8773995985684,228404.88561804377,64.51755661800442,-43.462736335799015,68.34337121077014,-67.00000000000101,8,-381.11198891655704,1399,0,1049,3824,True
SOL-TSMOM-H2,solusdt,TSMOM,2h,23661,0,6195,8.186159171060412,18.789981269623986,0.7885391444713479,-0.0550191742296674,-563.8123204984586,457887.3725576015,4219.471312448247,-48.63966092922495,106.77693518421437,-70.00000000000105,10,-526.8826028466284,1035,0,711,4449,True
XRP-TSMOM-H2,xrpusdt,TSMOM,2h,23661,4,5947,4.74840355839877,13.356553088413051,0.7191861442744241,-0.08844958849111628,-920.3511852356314,303404.9344385865,248.1230620965011,-48.46852763576022,89.86377731828576,-70.00000000000104,9,-442.3948944338183,1270,0,937,3740,True
LINK-TSMOM-H2,linkusdt,TSMOM,2h,23661,0,6234,5.848940433011126,18.750048017803884,0.7704523580365736,-0.08946853049995351,-928.1540231212566,361994.1661108397,748.5413811129829,-52.169309519483114,90.91160691926336,-72.00000000000092,8,-367.8247935385457,1188,0,685,4361,True
DOGE-TSMOM-H2,dogeusdt,TSMOM,2h,23661,52,5959,6.285259934209759,11.499674289778897,0.7464339654304414,-0.09405783287415748,-978.0002665674838,409970.61065484583,1616.1537165018199,-51.33598616798556,109.60865237290281,-72.00000000000108,11,-578.1989986334987,1198,0,774,3987,True
BNB-TSMOM-H2,bnbusdt,TSMOM,2h,23661,30,6222,2.7352097884532465,10.665568011985545,0.6658630665380907,-0.25713892103298464,-2933.8857995594153,169651.95132555626,21.063245750564477,-47.02755294102125,64.54796859520653,-70.000000000001,12,-429.77990564517336,1615,0,1120,3487,True
BTC-TSMOM-H3,btcusdt,TSMOM,3h,15776,0,4160,3.6900022675801276,11.527804443743463,0.7045673076923077,-0.08063911092624176,-823.5564479914319,142176.10863829547,12.484549477599957,-43.00531117228533,66.5403057212672,-67.00000000000098,8,-297.84594550869997,960,0,732,2468,True
ETH-TSMOM-H3,ethusdt,TSMOM,3h,15776,0,4274,6.381406530708858,15.23266164319269,0.7636874122601778,-0.09191591440372082,-957.7777627241448,233855.80563105992,71.05824783707041,-43.02600078504238,84.96080466420142,-67.00000000000114,9,-375.1215244984079,780,0,594,2900,True
SOL-TSMOM-H3,solusdt,TSMOM,3h,15776,0,4200,12.609298012248642,16.661678627814172,0.8214285714285714,-0.027144286483789415,-274.4397558134515,430137.8912985616,2475.443652443496,-49.40153898995282,135.41711464957302,-70.00000000000107,5,-246.84937542988234,585,0,375,3240,True
XRP-TSMOM-H3,xrpusdt,TSMOM,3h,15776,15,3969,7.611604405369608,13.252363010292429,0.7661879566641472,-0.052902618834690385,-540.1946592026507,298515.70767042495,225.38927912659196,-48.653305522388095,113.01084353673215,-70.00000000000108,7,-314.9999999999993,714,0,504,2751,True
