tag,symbol,kind,tf,n_bars,blowoff_skips,base_trades,base_pf,base_win,base_sharpe,base_mdd,base_mdd_bp,base_cum_bp,base_cagr,base_pass,blow_trades,blow_pf,blow_win,blow_sharpe,blow_mdd,blow_mdd_bp,blow_cum_bp,blow_cagr,blow_pass
BTC-TSMOM-D1,btcusdt,TSMOM,1D,1973,0,201,1.1248168526102649,0.6915422885572139,0.2908195943003559,-0.7254490567132301,-10324.012160490234,6794.158295935607,0.028355002546677888,False,201,1.1248168526102649,0.6915422885572139,0.2908195943003559,-0.7254490567132301,-10324.012160490234,6794.158295935607,0.028355002546677888,False
ETH-TSMOM-D1,ethusdt,TSMOM,1D,1973,2,232,1.1057258629541908,0.6896551724137931,0.2578135157979834,-0.6315111236066047,-8920.795979246785,6734.272049825009,0.0011611481856350636,False,234,1.1317887860766829,0.6965811965811965,0.31964360085827737,-0.6178496863003421,-8920.795979246786,8381.963776676537,0.031155337139896044,False
SOL-TSMOM-D1,solusdt,TSMOM,1D,1973,14,313,1.4865505049417627,0.805111821086262,1.1113947527881758,-0.8918544290673174,-18868.516398474265,44974.33762802743,0.6934928164442422,False,307,1.4848068782670751,0.8045602605863192,1.0949962837655096,-0.8918544290673173,-18868.516398474265,43752.438996791905,0.6686557160597366,False
LINK-TSMOM-D1,linkusdt,TSMOM,1D,1973,45,173,0.6913165995582333,0.6820809248554913,-0.7875304853798276,-0.9700967371861564,-26541.22105760674,-24315.938726346943,-0.46657545981386195,False,166,0.7692522153692105,0.6987951807228916,-0.5451092724279354,-0.934337038192827,-21379.610346215035,-16372.119163000165,-0.37488154691115994,False
BNB-TSMOM-D1,bnbusdt,TSMOM,1D,1973,13,180,1.877983908091507,0.7166666666666667,1.3375109569275976,-0.6627524379683631,-9821.83588217687,43264.038909764335,0.8796499270082192,False,177,1.6570928749285867,0.711864406779661,1.2098686808369912,-0.662752437968363,-9821.835882176876,32379.28559537604,0.6027461606473186,False
BTC-TSMOM-H12,btcusdt,TSMOM,12h,3945,0,270,1.024466584633032,0.7037037037037037,0.06733302290596174,-0.7349748426368767,-10677.477242774034,1665.0537376095328,-0.07583540601574468,False,270,1.024466584633032,0.7037037037037037,0.06733302290596174,-0.7349748426368767,-10677.477242774034,1665.0537376095328,-0.07583540601574468,False
DOGE-TSMOM-H12,dogeusdt,TSMOM,12h,3945,158,445,1.6967109098328823,0.7932584269662921,1.1593927532034187,-0.896064803027792,-15658.944368643417,79060.59038851004,1.3864176521258935,False,413,1.650244847536493,0.801452784503632,0.9941284700420928,-0.7473471402956244,-10417.993472193451,57551.67964783679,0.9675655574745485,False
AVAX-TSMOM-H12,avaxusdt,TSMOM,12h,3945,94,451,1.2884875557134152,0.8270509977827051,0.7395919908495836,-0.8767154736066756,-15988.014455046537,29769.0510413593,0.27199343222808414,False,429,1.2171016289188648,0.8228438228438228,0.5542974298888543,-0.8370450099795395,-13753.008474721197,21057.22480292103,0.12110398984184712,False
XRP-TSMOM-H6,xrpusdt,TSMOM,6h,7889,63,715,1.483334318823065,0.8223776223776224,1.4158592321663874,-0.7258105651644058,-11051.586475086922,55621.89151571805,1.1450018824214827,False,708,1.436484440943893,0.8220338983050848,1.285292500516708,-0.7258105651644057,-11051.586475086915,49799.328379378254,0.9354365918040943,False
BTC-TSMOM-H6,btcusdt,TSMOM,6h,7889,0,983,1.2210705056791489,0.8179043743641913,0.93047379420846,-0.4690271356853969,-5831.81855348619,18293.327578990073,0.3111753721267394,False,983,1.2210705056791489,0.8179043743641913,0.93047379420846,-0.4690271356853969,-5831.81855348619,18293.327578990073,0.3111753721267394,False
ETH-TSMOM-H6,ethusdt,TSMOM,6h,7889,0,1029,1.1038741857680625,0.793002915451895,0.4410877160569215,-0.7368347586538475,-11441.528742867355,11182.013211449223,0.09750727447170737,False,1029,1.1038741857680625,0.793002915451895,0.4410877160569215,-0.7368347586538475,-11441.528742867355,11182.013211449223,0.09750727447170737,False
SOL-TSMOM-H6,solusdt,TSMOM,6h,7889,12,882,1.78056414274663,0.8696145124716553,2.4008036609060945,-0.4840704355425969,-5451.86798174931,95241.74088751202,3.3628949134206696,False,880,1.7835284890286367,0.8693181818181818,2.4032901179114767,-0.484070435542597,-5451.86798174931,94661.38966209863,3.3351282052917606,False
BNB-TSMOM-H6,bnbusdt,TSMOM,6h,7889,50,499,1.4247277427108105,0.7134268537074149,1.1727796073575498,-0.6788857569451094,-10138.12585633653,38402.40391367552,0.6916941830088523,False,491,1.2964869341079837,0.7128309572301426,0.9146318489821041,-0.6788857569451092,-10138.12585633653,25935.937708282418,0.4011544464762229,False
LINK-TSMOM-H6,linkusdt,TSMOM,6h,7889,0,550,1.3223741368804287,0.7418181818181818,1.112504698338861,-0.6480149629148927,-7680.299159578591,42627.506621380635,0.6844635058757329,False,550,1.3223741368804287,0.7418181818181818,1.112504698338861,-0.6480149629148927,-7680.299159578591,42627.506621380635,0.6844635058757329,False
DOGE-TSMOM-H6,dogeusdt,TSMOM,6h,7889,113,578,1.3063710115243068,0.5501730103806228,1.0171340195291425,-0.7949183651769474,-10068.135426977664,60850.51991858019,0.7322155165432416,False,555,1.2612333676676313,0.5531531531531532,0.9565050819931596,-0.7271834578037182,-9030.707446870252,46213.82888615968,0.5802792745974996,False
