tag,symbol,strategy,tf_secs,oos_trades,oos_wins,oos_pf,oos_sharpe,oos_total_bp,oos_max_dd_bp,verdict,note,score
ETH-TSMOM-H3,ethusdt,TSMOM,10800,949,757,1.38767,2.1919,26591.6,5150.75,PASS,,9.513
SOL-TSMOM-H3,solusdt,TSMOM,10800,886,741,1.39594,2.21739,35286.4,4681.05,PASS,,9.474
SOL-TSMOM-H4,solusdt,TSMOM,14400,699,570,1.44026,2.22456,31110,4714.7,PASS,,9.433
BNB-TSMOM-H16,bnbusdt,TSMOM,57600,161,135,1.81258,1.67871,17428.1,4934.84,PASS,,9.210
ETH-TSMOM-H6,ethusdt,TSMOM,21600,492,388,1.4578,1.95365,21198.7,4842.13,PASS,,9.036
ARB-TSMOM-H6,arbusdt,TSMOM,21600,554,419,1.41664,2.12139,34762.7,10991.2,PASS,,8.949
BNB-TSMOM-H12,bnbusdt,TSMOM,43200,258,218,1.60947,1.72072,18719.4,3898.01,PASS,,8.937
DOGE-TSMOM-H3,dogeusdt,TSMOM,10800,832,670,1.32789,1.81298,32623,6350.97,PASS,,8.929
ETH-TSMOM-H8,ethusdt,TSMOM,28800,385,307,1.49784,1.81261,19696.9,3729.3,PASS,,8.917
NEAR-DONCH-H12,nearusdt,DONCHIAN,43200,43,36,2.36998,1.37817,12273.7,3117.64,PASS,,8.914
APT-TSMOM-H6,aptusdt,TSMOM,21600,481,385,1.43233,1.94308,32650.6,7234.5,PASS,,8.846
XRP-DONCH-H16,xrpusdt,DONCHIAN,57600,28,20,2.64449,1.20235,13332,2964.88,PASS,,8.812
XRP-TSMOM-H16,xrpusdt,TSMOM,57600,145,115,1.77053,1.45187,24354.7,6759.86,PASS,,8.811
SUI-TSMOM-H4,suiusdt,TSMOM,14400,734,548,1.32695,1.87685,37187.5,10841.6,PASS,,8.756
SUI-RSI-H4,suiusdt,RSI_REVERT,14400,21,17,2.81533,1.20557,5147.67,967.732,PASS,,8.571
SUI-RSI-H3,suiusdt,RSI_REVERT,10800,22,16,2.7711,1.22319,7287.61,1885.99,PASS,,8.566
BTC-TSMOM-H8,btcusdt,TSMOM,28800,248,195,1.54992,1.64409,13297.2,2603.51,PASS,,8.545
XRP-DONCH-H6,xrpusdt,DONCHIAN,21600,67,40,2.00249,1.60396,15425.2,3276.95,PASS,,8.420
BTC-TSMOM-H4,btcusdt,TSMOM,14400,516,390,1.34605,1.67839,14596.4,5562.52,PASS,,8.408
ARB-TSMOM-H8,arbusdt,TSMOM,28800,326,259,1.44903,1.4514,26642.5,8590.57,PASS,,8.385
BNB-TSMOM-H6,bnbusdt,TSMOM,21600,232,170,1.51256,1.59593,17298.9,3565.4,PASS,,8.239
SOL-TSMOM-H6,solusdt,TSMOM,21600,410,351,1.35317,1.34204,19827.9,5208.51,PASS,,8.141
NEAR-TSMOM-D1,nearusdt,TSMOM,86400,120,105,1.70039,1.33471,24644.5,8416.45,PASS,,8.141
ARB-RSI-H3,arbusdt,RSI_REVERT,10800,26,19,2.48206,1.08292,5618.27,1993.7,PASS,,8.087
LINK-TSMOM-H12,linkusdt,TSMOM,43200,313,222,1.38749,1.4441,21152.2,6246.39,PASS,,7.973
XRP-TSMOM-H6,xrpusdt,TSMOM,21600,343,271,1.36563,1.25846,20613.5,9898.23,PASS,,7.972
ETH-TSMOM-D1,ethusdt,TSMOM,86400,104,74,1.70136,1.3765,17105.5,6156.51,PASS,,7.902
SOL-TSMOM-H16,solusdt,TSMOM,57600,157,134,1.55878,1.2717,17370.1,7309.47,PASS,,7.882
SUI-BOLL-H8,suiusdt,BOLLINGER,28800,50,38,1.99857,1.25918,7794.79,1798.72,PASS,,7.818
XRP-TSMOM-D2,xrpusdt,TSMOM,172800,60,37,1.907,1.13985,20629.1,6426.45,PASS,,7.808
SOL-TSMOM-H12,solusdt,TSMOM,43200,235,189,1.41304,1.17444,17824.7,6535.96,PASS,,7.715
XRP-DONCH-H8,xrpusdt,DONCHIAN,28800,73,38,1.79744,1.25011,14359.4,3597.51,PASS,,7.712
DOGE-TSMOM-H6,dogeusdt,TSMOM,21600,279,159,1.36563,1.47445,28188.4,13864,PASS,,7.690
ARB-TSMOM-H16,arbusdt,TSMOM,57600,200,133,1.44775,1.30276,22059.5,5101.87,PASS,,7.671
AVAX-TSMOM-H8,avaxusdt,TSMOM,28800,277,235,1.35901,1.13997,18961.7,8064.43,PASS,,7.643
LINK-TSMOM-H6,linkusdt,TSMOM,21600,255,191,1.376,1.3174,21571.5,7835.1,PASS,,7.625
BTC-TSMOM-H16,btcusdt,TSMOM,57600,72,47,1.77797,1.38726,11852.9,3673.37,PASS,,7.604
BTC-TSMOM-D3,btcusdt,TSMOM,259200,43,38,2.01056,1.00907,10381.5,7418.04,PASS,,7.562
SUI-TSMOM-H16,suiusdt,TSMOM,57600,155,127,1.48531,1.14192,24542.9,12604.7,PASS,,7.491
BTC-BOLL-H8,btcusdt,BOLLINGER,28800,23,14,2.35599,1.06398,2598.01,760.428,PASS,,7.387
APT-BOLL-H2,aptusdt,BOLLINGER,7200,145,113,1.46991,0.979732,6838.61,3183.3,PASS,,7.315
NEAR-DONCH-H8,nearusdt,DONCHIAN,28800,117,98,1.51427,0.968559,11376.7,8146.26,PASS,,7.211
XRP-TSMOM-H12,xrpusdt,TSMOM,43200,227,168,1.32235,0.968097,14630.9,6343.7,PASS,,7.174
DOGE-TSMOM-D2,dogeusdt,TSMOM,172800,71,44,1.66935,1.15381,22633.9,10126.7,PASS,,7.116
SUI-RSI-H2,suiusdt,RSI_REVERT,7200,43,24,1.88693,1.13815,9188.19,1755.3,PASS,,7.097
APT-RSI-H3,aptusdt,RSI_REVERT,10800,29,20,2.10129,1.06681,5366.9,1495.96,PASS,,7.076
BTC-TSMOM-D1,btcusdt,TSMOM,86400,94,66,1.5533,1.1537,9557.67,3063.71,PASS,,7.057
BNB-DONCH-D2,bnbusdt,DONCHIAN,172800,28,24,2.08946,0.898065,6040.35,2750.11,PASS,,6.963
LINK-TSMOM-D2,linkusdt,TSMOM,172800,33,25,1.98768,0.907632,16383.2,9079.72,PASS,,6.950
LINK-BOLL-H8,linkusdt,BOLLINGER,28800,41,34,1.86803,0.970456,5135.98,3227.15,PASS,,6.937
ETH-RSI30-H4,ethusdt,RSI_REVERT,14400,31,24,2.00208,1.02063,4263.18,1849.71,PASS,,6.875
BNB-BOLL25-H3,bnbusdt,BOLLINGER,10800,34,22,1.90585,1.00518,2422.09,1026.76,PASS,,6.721
XRP-TSMOM-D3,xrpusdt,TSMOM,259200,28,16,1.99893,0.860101,17956.1,7630.95,PASS,,6.661
SOL-TSMOM-D1,solusdt,TSMOM,86400,140,113,1.3473,0.859284,12214.8,7233.71,PASS,,6.658
BTC-TSMOM-H12,btcusdt,TSMOM,43200,128,91,1.36026,0.962608,9711.81,4702.16,PASS,,6.600
ETH-TSMOM-D3,ethusdt,TSMOM,259200,36,26,1.81907,0.876939,9206.77,4020.76,PASS,,6.519
BNB-BOLL-H8,bnbusdt,BOLLINGER,28800,39,31,1.77404,0.941358,2208.57,628.155,PASS,,6.499
LINK-TSMOM-H16,linkusdt,TSMOM,57600,116,87,1.36716,0.858692,14186.6,8611.71,PASS,,6.499
ARB-RSI-H2,arbusdt,RSI_REVERT,7200,39,30,1.77304,0.777668,3671.91,1104.77,PASS,,6.496
LINK-TSMOM-D1,linkusdt,TSMOM,86400,86,58,1.44084,0.842663,16480.5,9297.87,PASS,,6.418
