tag,symbol,strategy,tf_secs,oos_trades,oos_wins,oos_pf,oos_sharpe,oos_total_bp,oos_max_dd_bp,verdict,note
DOGE-RSI-H4,dogeusdt,RSI_REVERT,14400,19,15,3.4755,1.40601,5786.14,1091.91,FAIL,
XRP-RSI-H4,xrpusdt,RSI_REVERT,14400,22,17,3.58651,1.45711,5171.59,1074.67,PASS,
SOL-RSI-H4,solusdt,RSI_REVERT,14400,27,11,1.17647,0.2326,1281.49,2902.66,FAIL,
AVAX-BOLL-H4,avaxusdt,BOLLINGER,14400,76,38,0.812888,-0.496793,-4384.21,7225.27,FAIL,
LINK-BOLL-H4,linkusdt,BOLLINGER,14400,74,50,0.976144,-0.0504011,-473.123,8442.87,FAIL,
SOL-BOLL-H4,solusdt,BOLLINGER,14400,78,49,0.799102,-0.472231,-3571.97,7104.44,FAIL,
SOL-BOLL-H2,solusdt,BOLLINGER,7200,111,69,1.35702,0.870086,5443.09,1560.97,PASS,
BTC-BOLL-H4,btcusdt,BOLLINGER,14400,91,69,1.08356,0.160537,619.685,2468.35,FAIL,
XRP-BOLL-H4,xrpusdt,BOLLINGER,14400,84,47,1.36528,0.714199,5567.99,2188.06,PASS,
SUI-RSI-H12,suiusdt,RSI_REVERT,43200,6,3,2.67717,0.490928,1144.71,682.524,FAIL,
ETH-BOLL-H12,ethusdt,BOLLINGER,43200,21,16,2.08505,0.880228,2449.98,1904.17,PASS,
DOGE-KELTNER-H6,dogeusdt,KELTNER_REVERT,21600,56,43,1.12753,0.228012,1514.34,4580.79,FAIL,
LINK-KELTNER-H12,linkusdt,KELTNER_REVERT,43200,22,15,1.34032,0.365808,2831.14,3198.56,PASS,
DOGE-KELTNER-H8,dogeusdt,KELTNER_REVERT,28800,41,32,1.17055,0.240081,1432.35,4664.69,FAIL,
BTC-KELTNER-H12,btcusdt,KELTNER_REVERT,43200,23,18,0.657637,-0.419139,-1872.1,3602.17,FAIL,
SUI-KELTNER-H12,suiusdt,KELTNER_REVERT,43200,27,13,0.996074,-0.00547365,-35.3127,2475.77,FAIL,
APT-KELTNER-H8,aptusdt,KELTNER_REVERT,28800,52,35,0.852944,-0.262641,-1966.98,6075.84,FAIL,
SOL-DT-H12,solusdt,DUAL_THRUST,43200,94,63,0.907273,-0.250684,-3101.77,11075.4,FAIL,
XRP-DT-H8,xrpusdt,DUAL_THRUST,28800,149,112,1.05882,0.150462,1879.56,7563.12,FAIL,
BTC-ICHI-H6,btcusdt,ICHIMOKU,21600,204,131,1.20045,0.702229,5139.43,4438.67,FAIL,
ETH-ICHI-H6,ethusdt,ICHIMOKU,21600,166,96,0.91417,-0.325028,-2983.97,7468.07,FAIL,
SOL-ICHI-H6,solusdt,ICHIMOKU,21600,184,119,1.20696,0.718098,8121.82,4434.09,FAIL,
XRP-ICHI-H6,xrpusdt,ICHIMOKU,21600,173,101,1.10326,0.332798,4644.37,8677.14,FAIL,
LINK-ICHI-H12,linkusdt,ICHIMOKU,43200,88,56,1.13065,0.315084,3673.49,7065.68,FAIL,
DOGE-ICHI-H12,dogeusdt,ICHIMOKU,43200,95,60,1.37331,0.817784,13139.7,7071.51,PASS,
BTC-ST-H6,btcusdt,SUPERTREND,21600,50,27,0.474428,-1.42364,-5075.01,5978.75,FAIL,
ETH-ST-H6,ethusdt,SUPERTREND,21600,45,20,0.264346,-2.41703,-9803.99,9803.99,FAIL,
SOL-ST-H6,solusdt,SUPERTREND,21600,47,29,0.668296,-0.758907,-4485.76,5074.98,FAIL,
XRP-ST-H4,xrpusdt,SUPERTREND,14400,71,37,0.777146,-0.526171,-3430.54,6627.12,FAIL,
LINK-ST-H8,linkusdt,SUPERTREND,28800,39,23,0.576633,-0.902594,-5726.55,5825.61,FAIL,
DOGE-ST-H8,dogeusdt,SUPERTREND,28800,34,19,0.883956,-0.201038,-1536.83,3919.62,FAIL,
ETH-WR-H4,ethusdt,WILLIAMS_R,14400,302,168,0.931891,-0.324776,-2967.08,5786.9,FAIL,
SOL-WR-H4,solusdt,WILLIAMS_R,14400,306,157,0.719231,-1.57565,-18106.5,20510.5,FAIL,
DOGE-WR-H6,dogeusdt,WILLIAMS_R,21600,218,108,0.793081,-0.899891,-12029.8,16902.6,FAIL,
XRP-WR-H6,xrpusdt,WILLIAMS_R,21600,218,88,0.612752,-1.83981,-17756.1,19054.4,FAIL,
ETH-SRSI-H4,ethusdt,STOCH_RSI,14400,352,197,0.847368,-0.829917,-7684.81,9410.94,FAIL,
SOL-SRSI-H4,solusdt,STOCH_RSI,14400,368,194,0.742655,-1.55362,-19021.7,21776.1,FAIL,
DOGE-SRSI-H6,dogeusdt,STOCH_RSI,21600,245,132,0.819548,-0.817347,-11681.5,20477.1,FAIL,
LINK-SRSI-H6,linkusdt,STOCH_RSI,21600,255,128,0.692621,-1.58353,-19713.3,22401,FAIL,
BTC-RSI-W1,btcusdt,RSI_REVERT,604800,0,0,0,0,0,0,FAIL,
ETH-RSI-W1,ethusdt,RSI_REVERT,604800,0,0,0,0,0,0,FAIL,
BTC-BOLL-W1,btcusdt,BOLLINGER,604800,0,0,0,0,0,0,FAIL,
ETH-BOLL-W1,ethusdt,BOLLINGER,604800,0,0,0,0,0,0,FAIL,
