tag,symbol,strategy,tf_secs,oos_trades,oos_wins,oos_pf,oos_sharpe,oos_total_bp,oos_max_dd_bp,verdict,note
ETH-TSMOM-H3,ethusdt,TSMOM,10800,949,757,1.38767,2.1919,26591.6,5150.75,PASS,
SOL-TSMOM-H3,solusdt,TSMOM,10800,886,741,1.39594,2.21739,35286.4,4681.05,PASS,
BNB-TSMOM-H3,bnbusdt,TSMOM,10800,847,724,1.48859,2.35753,23140.5,2498.79,PASS,
DOGE-TSMOM-H3,dogeusdt,TSMOM,10800,832,670,1.32789,1.81298,32623,6350.97,PASS,
ETH-RSI30-H3,ethusdt,RSI_REVERT,10800,36,27,0.836548,-0.265658,-1203.1,3036.76,FAIL,
ETH-RSI30-H4,ethusdt,RSI_REVERT,14400,31,24,2.00208,1.02063,4263.18,1849.71,PASS,
DOGE-RSI30-H3,dogeusdt,RSI_REVERT,10800,28,20,0.942357,-0.0738759,-376.446,3450.64,FAIL,
AVAX-RSI25-H2,avaxusdt,RSI_REVERT,7200,14,8,2.58987,0.818646,3141.18,801.868,FAIL,
DOGE-RSI25-H2,dogeusdt,RSI_REVERT,7200,16,13,2.35107,0.854073,2206.18,789.806,FAIL,
BTC-RSI35-H3,btcusdt,RSI_REVERT,10800,79,56,0.380751,-1.80186,-7126.22,8185.05,FAIL,
BNB-BOLL25-H3,bnbusdt,BOLLINGER,10800,34,22,1.90585,1.00518,2422.09,1026.76,PASS,
ETH-BOLL25-H3,ethusdt,BOLLINGER,10800,41,29,0.759563,-0.406068,-1262.87,3043.77,FAIL,
BTC-RSI25-H2,btcusdt,RSI_REVERT,7200,12,10,4.68579,1.14394,1092.28,170.048,FAIL,
LINK-BOLL30-H1,linkusdt,BOLLINGER,3600,48,30,0.924571,-0.113918,-321.291,1516.42,FAIL,
XRP-RSI30-H6,xrpusdt,RSI_REVERT,21600,13,7,1.71997,0.456705,2868.23,2731.25,FAIL,
XRP-RSI30-H2,xrpusdt,RSI_REVERT,7200,44,23,1.25642,0.394029,1897.15,2570.84,FAIL,
NEAR-TSMOM-D1,nearusdt,TSMOM,86400,120,105,1.70039,1.33471,24644.5,8416.45,PASS,
NEAR-TSMOM-H12,nearusdt,TSMOM,43200,317,248,1.89657,2.74995,52889.5,8914.66,PASS,
NEAR-TSMOM-H6,nearusdt,TSMOM,21600,670,473,1.55233,2.65614,47255.9,7719.55,PASS,
NEAR-TSMOM-H4,nearusdt,TSMOM,14400,577,511,1.73151,2.70439,48146.1,5615.79,PASS,
NEAR-TSMOM-H3,nearusdt,TSMOM,10800,885,728,1.49829,2.72012,48581.5,4546.97,PASS,
SUI-TSMOM-H6,suiusdt,TSMOM,21600,586,433,1.55732,2.7426,49153.2,6289.57,PASS,
SUI-TSMOM-H4,suiusdt,TSMOM,14400,734,548,1.32695,1.87685,37187.5,10841.6,PASS,
APT-TSMOM-H6,aptusdt,TSMOM,21600,481,385,1.43233,1.94308,32650.6,7234.5,PASS,
ARB-TSMOM-H6,arbusdt,TSMOM,21600,554,419,1.41664,2.12139,34762.7,10991.2,PASS,
NEAR-RSI-H6,nearusdt,RSI_REVERT,21600,12,9,1.73874,0.450713,1496.35,1456.58,FAIL,
NEAR-RSI-H4,nearusdt,RSI_REVERT,14400,20,10,1.18999,0.211501,1172.78,3024.58,FAIL,
NEAR-RSI-H3,nearusdt,RSI_REVERT,10800,30,18,1.4593,0.538013,3892.83,2360.18,PASS,
NEAR-RSI-H2,nearusdt,RSI_REVERT,7200,37,12,0.446225,-1.16705,-5106.95,6387.87,FAIL,
SUI-RSI-H3,suiusdt,RSI_REVERT,10800,22,16,2.7711,1.22319,7287.61,1885.99,PASS,
SUI-RSI-H2,suiusdt,RSI_REVERT,7200,43,24,1.88693,1.13815,9188.19,1755.3,PASS,
SUI-RSI-H4,suiusdt,RSI_REVERT,14400,21,17,2.81533,1.20557,5147.67,967.732,PASS,
APT-RSI-H2,aptusdt,RSI_REVERT,7200,42,25,0.964359,-0.0479286,-312.817,4844.46,FAIL,
APT-RSI-H1,aptusdt,RSI_REVERT,3600,83,52,1.41014,0.409824,2861.08,2629.98,PASS,
APT-RSI-H4,aptusdt,RSI_REVERT,14400,20,11,0.787717,-0.278959,-1541.81,5412.28,FAIL,
APT-RSI-H6,aptusdt,RSI_REVERT,21600,16,9,0.85386,-0.13492,-783.084,3783.62,FAIL,
APT-RSI-H3,aptusdt,RSI_REVERT,10800,29,20,2.10129,1.06681,5366.9,1495.96,PASS,
ARB-RSI-H2,arbusdt,RSI_REVERT,7200,39,30,1.77304,0.777668,3671.91,1104.77,PASS,
ARB-RSI-H4,arbusdt,RSI_REVERT,14400,23,15,1.38787,0.364601,1954.76,2601.11,PASS,
ARB-RSI-H1,arbusdt,RSI_REVERT,3600,94,64,1.13456,0.266643,1545.75,4262.97,FAIL,
ARB-RSI-H6,arbusdt,RSI_REVERT,21600,11,9,4.46236,1.20764,4058.07,1032.15,FAIL,
ARB-RSI-H3,arbusdt,RSI_REVERT,10800,26,19,2.48206,1.08292,5618.27,1993.7,PASS,
NEAR-BOLL-H3,nearusdt,BOLLINGER,10800,104,59,0.974028,-0.076515,-872.632,8668.88,FAIL,
NEAR-BOLL-H6,nearusdt,BOLLINGER,21600,59,22,0.711535,-0.746168,-6195.57,10675.8,FAIL,
NEAR-BOLL-H2,nearusdt,BOLLINGER,7200,155,104,0.805672,-0.701233,-6200.96,12669.5,FAIL,
NEAR-BOLL-H4,nearusdt,BOLLINGER,14400,74,40,1.00761,0.0178571,207.366,8818.99,FAIL,
APT-BOLL-H2,aptusdt,BOLLINGER,7200,145,113,1.46991,0.979732,6838.61,3183.3,PASS,
APT-BOLL-H4,aptusdt,BOLLINGER,14400,94,59,1.00585,0.014763,160.857,8700.36,FAIL,
APT-BOLL-H3,aptusdt,BOLLINGER,10800,121,78,0.919591,-0.246834,-2737.76,9222.09,FAIL,
