tag,symbol,entry_ts,exit_ts,entry_px,exit_px,reason,gross_bp,net_bp,mfe_bp,in_bounce
SEI-TSMOM-H8,seiusdt,1781884800000,1781885700000,0.05434000,0.05401000,EARLY_KILL,-60.73,-82.73,1.84,0
LINK-TSMOM-H6,linkusdt,1781978400000,1781982900000,7.90400000,7.88500000,SL,-24.04,-46.04,34.16,0
NEAR-TSMOM-H4,nearusdt,1781985600000,1781991900000,2.15500000,2.16600000,GIVEBACK,51.04,29.04,106.73,0
SOL-TSMOM-H4,solusdt,1781985600000,1781995500000,71.86000000,73.56000000,GIVEBACK,236.57,216.57,339.55,0
NEAR-TSMOM-H4,nearusdt,1782000000000,1782002700000,2.19400000,2.21100000,GIVEBACK,77.48,55.48,150.41,0
NEAR-TSMOM-H8,nearusdt,1782000000000,1782002700000,2.19400000,2.21100000,GIVEBACK,77.48,55.48,150.41,0
INJ-TSMOM-H12,injusdt,1782000000000,1782004500000,5.05600000,5.02900000,SL,-53.40,-75.40,39.56,0
SEI-TSMOM-H8,seiusdt,1782000000000,1782006300000,0.05464000,0.05565000,SL,184.85,162.85,234.26,0
LINK-TSMOM-H6,linkusdt,1782000000000,1782008100000,7.98700000,7.94000000,EARLY_KILL,-58.85,-80.85,8.76,0
SOL-TSMOM-H4,solusdt,1782057600000,1782060300000,74.14000000,74.34000000,SL,26.98,6.98,72.84,0
SEI-TSMOM-H8,seiusdt,1782057600000,1782058500000,0.05563000,0.05493000,EARLY_KILL,-125.83,-147.83,0.00,0
LINK-TSMOM-H6,linkusdt,1782108000000,1782108900000,7.94500000,7.90000000,EARLY_KILL,-56.64,-78.64,1.26,0
TIA-TSMOM-H8,tiausdt,1782144000000,1782148500000,0.39990000,0.39900000,GIVEBACK,-22.51,-44.51,167.54,0
LINK-TSMOM-H6,linkusdt,1782172800000,1782173700000,7.87400000,7.82800000,EARLY_KILL,-58.42,-80.42,0.00,0
SEI-TSMOM-H8,seiusdt,1782172800000,1782173700000,0.05458000,0.05404000,EARLY_KILL,-98.94,-120.94,0.00,0
LINK-TSMOM-H12,linkusdt,1782172800000,1782173700000,7.87400000,7.82800000,EARLY_KILL,-58.42,-80.42,0.00,0
APT-TSMOM-H8,aptusdt,1782172800000,1782173700000,0.66100000,0.65500000,EARLY_KILL,-90.77,-112.77,0.00,0
AVAX-TSMOM-H8,avaxusdt,1782288000000,1782297900000,6.39500000,6.40400000,SL,14.07,-7.93,56.29,0
TIA-TSMOM-H12,tiausdt,1782345600000,1782346500000,0.37390000,0.36990000,EARLY_KILL,-106.98,-128.98,0.00,0
SEI-TSMOM-H8,seiusdt,1782374400000,1782378900000,0.05749000,0.05804000,GIVEBACK,95.67,73.67,262.65,0
TIA-TSMOM-H8,tiausdt,1782518400000,1782519300000,0.38160000,0.37580000,EARLY_KILL,-151.99,-173.99,2.62,0
FET-TSMOM-H8,fetusdt,1782777600000,1782778500000,0.17720000,0.17500000,EARLY_KILL,-124.15,-146.15,0.00,0
TIA-TSMOM-H8,tiausdt,1782777600000,1782778500000,0.39010000,0.38650000,EARLY_KILL,-92.28,-114.28,0.00,0
TIA-TSMOM-H12,tiausdt,1782777600000,1782778500000,0.39010000,0.38650000,EARLY_KILL,-92.28,-114.28,0.00,0
INJ-TSMOM-H8,injusdt,1782777600000,1782778500000,4.73100000,4.69000000,EARLY_KILL,-86.66,-108.66,0.00,0
