tag,symbol,entry_ts,exit_ts,entry_px,exit_px,reason,gross_bp,net_bp,mfe_bp,in_bounce
NEAR-TSMOM-H8,nearusdt,1780214400000,1780215300000,2.30500000,2.26200000,EARLY_KILL,-186.55,-208.55,0.00,0
FET-TSMOM-H8,fetusdt,1780214400000,1780215300000,0.26830000,0.26570000,EARLY_KILL,-96.91,-118.91,0.00,0
INJ-TSMOM-H8,injusdt,1780214400000,1780215300000,6.53900000,6.48000000,EARLY_KILL,-90.23,-112.23,1.53,0
SEI-TSMOM-H8,seiusdt,1780214400000,1780217100000,0.06617000,0.06616000,SL,-1.51,-23.51,61.96,0
APT-TSMOM-H8,aptusdt,1780214400000,1780220700000,0.94000000,0.93900000,SL,-10.64,-32.64,63.83,0
BNB-TSMOM-D1,bnbusdt,1780272000000,1780274700000,710.55000000,710.63000000,SL,1.13,-18.87,95.28,0
NEAR-TSMOM-H12,nearusdt,1780315200000,1780316100000,2.32000000,2.29700000,EARLY_KILL,-99.14,-121.14,0.00,0
FET-TSMOM-H12,fetusdt,1780315200000,1780316100000,0.27760000,0.26660000,EARLY_KILL,-396.25,-418.25,3.60,0
INJ-TSMOM-H12,injusdt,1780315200000,1780316100000,6.66400000,6.55300000,EARLY_KILL,-166.57,-188.57,1.50,0
NEAR-TSMOM-H8,nearusdt,1780329600000,1780330500000,2.41000000,2.38200000,EARLY_KILL,-116.18,-138.18,0.00,0
SEI-TSMOM-H8,seiusdt,1780329600000,1780330500000,0.06724000,0.06671000,EARLY_KILL,-78.82,-100.82,0.00,0
BNB-TSMOM-D1,bnbusdt,1780358400000,1780362900000,693.10000000,684.50000000,SL,-124.08,-144.08,12.55,0
FET-TSMOM-H8,fetusdt,1780416000000,1780416900000,0.25800000,0.25620000,EARLY_KILL,-69.77,-91.77,0.00,0
INJ-TSMOM-H8,injusdt,1780416000000,1780416900000,6.79100000,6.70500000,EARLY_KILL,-126.64,-148.64,1.47,0
NEAR-TSMOM-H4,nearusdt,1780430400000,1780431300000,2.63100000,2.58100000,EARLY_KILL,-190.04,-212.04,0.00,0
NEAR-TSMOM-H12,nearusdt,1780531200000,1780532100000,2.81700000,2.76600000,EARLY_KILL,-181.04,-203.04,0.00,0
NEAR-TSMOM-H4,nearusdt,1780531200000,1780532100000,2.81700000,2.76600000,EARLY_KILL,-181.04,-203.04,0.00,0
NEAR-TSMOM-H8,nearusdt,1780531200000,1780532100000,2.81700000,2.76600000,EARLY_KILL,-181.04,-203.04,0.00,0
FET-TSMOM-H8,fetusdt,1780531200000,1780532100000,0.25410000,0.24940000,EARLY_KILL,-184.97,-206.97,0.00,0
FET-TSMOM-H12,fetusdt,1780531200000,1780532100000,0.25410000,0.24940000,EARLY_KILL,-184.97,-206.97,0.00,0
