ts,key,event,pos,px,realized_pct,cum_pct
2026-06-29 11:18,btc_emax_mbt,OPEN -1,-1,60082.4000,,0.000
2026-06-29 11:18,btc_emax_sqf,OPEN -1,-1,60082.4000,,0.000
2026-06-29 11:18,eth_emax_met,OPEN -1,-1,1578.3400,,0.000
2026-06-29 11:18,eth_tsmom_met,OPEN -1,-1,1578.3400,,0.000
2026-06-29 11:18,eth_emax_sqf,OPEN -1,-1,1578.3400,,0.000
2026-06-29 11:18,eth_tsmom_sqf,OPEN -1,-1,1578.3400,,0.000
2026-06-29 11:18,sol_emax_fut,OPEN 1,1,73.2400,,0.000
2026-06-29 11:18,sol_tsmom_fut,OPEN -1,-1,73.2400,,0.000
2026-06-29 11:18,eth_emax_1h,OPEN -1,-1,1578.3400,,0.000
2026-06-29 11:18,sol_emax_1h,OPEN 1,1,73.2500,,0.000
2026-06-29 16:03,sol_tsmom_fut,CLOSE -1,1,73.8700,-1.152,-1.152
2026-06-29 16:03,sol_tsmom_fut,OPEN 1,1,73.8700,,-1.152
2026-06-29 18:03,eth_emax_1h,CLOSE -1,1,1625.8300,-4.663,-4.663
2026-06-29 18:03,eth_emax_1h,OPEN 1,1,1625.8300,,-4.663
2026-06-29 21:03,eth_emax_1h,CLOSE 1,0,1617.9600,-0.876,-5.539
2026-06-29 21:06,eth_kelt_met,OPEN 1,1,1626.4800,,0.000
2026-06-29 21:38,eth_ichi_met,OPEN 1,1,1626.4800,,0.000
2026-06-29 21:38,sol_ichi_fut,OPEN 1,1,75.9100,,0.000
2026-06-29 21:38,sol_macd_fut,OPEN 1,1,75.9100,,0.000
2026-06-29 21:38,sol_donch40_1h,OPEN 1,1,75.4200,,0.000
