id,entry_ts,exit_ts,sym,strat,side,entry,exit,net_usd
ndx_tsmom_1782694020,1782289680,1782694020,NDX,TSMom50,LONG,29635.9500,29118.2400,-53.52
sol_reg_1782738000,1782651600,1782738000,SOL,Regime,LONG,70.5000,71.3800,15.74
sol_ibs_1782738000,1782651600,1782738000,SOL,IBS,LONG,70.5000,71.3800,27.55
